Sample	plasmidG	alive	start	treatment	plasmidT	ampliconG	ampliconT
G0.1	2.41E+05	0	0	0.1	2.00E+05	325148.6172	498406.1342
G0.2	2.32E+05	0	0	0.2	1.93E+05	213578.0133	561299.216
G2.1	2.89E+05	2	2	2.1	3.68E+05	311579.2194	542775.9111
G2.2	3.80E+05	2	2	2.2	2.58E+05	80124.06307	364176.7899
G4.1	4.72E+05	3	4	4.1	8.56E+04	62160.76506	220039.6313
G4.2	4.29E+05	4	4	4.2	1.64E+05	125613.8537	272507.9693
G6.1	4.47E+05	5	6	6.1	5.27E+02	84388.73094	511760.1447
G6.2	4.48E+05	6	6	6.2	2.85E+02	141164.8143	495390.7125
G8.1	5.11E+05	7	8	8.1	2.64E+03	19156.54347	466959.5933
G8.2	5.12E+05	8	8	8.2	2.97E+02	2980.959766	368441.4577
G10.1	4.88E+05	7	10	10.1	2.67E+01	11992.76299	234169.0359
G10.2	4.46E+05	10	10	10.2	3.06E+02	50529.85268	310717.6704
